,subj,chunk,early,late,axis
0,0110171_neurosketch,0,0.40000000000000002,0.38095238095238093,bed_bench
1,0110172_neurosketch,0,0.59999999999999998,0.5714285714285714,bed_chair
2,0111171_neurosketch,0,0.55000000000000004,0.38095238095238093,bed_table
3,0112171_neurosketch,0,0.14999999999999999,0.047619047619047616,bench_chair
4,0112172_neurosketch,0,0.25,0.38095238095238093,bench_table
5,0112173_neurosketch,0,0.29999999999999999,0.14285714285714285,chair_table
6,0113171_neurosketch,0,0.69999999999999996,0.47619047619047616,bed_chair
7,0115172_neurosketch,0,0.29999999999999999,0.23809523809523808,bed_table
8,0115174_neurosketch,0,0.40000000000000002,0.47619047619047616,bench_chair
9,0117171_neurosketch,0,0.10000000000000001,0.0,bench_table
10,0118171_neurosketch,0,0.25,0.0,chair_table
11,0118172_neurosketch,0,0.29999999999999999,0.2857142857142857,chair_table
12,0119171_neurosketch,0,0.29999999999999999,0.38095238095238093,bed_bench
13,0119172_neurosketch,0,0.45000000000000001,0.52380952380952384,bed_chair
14,0119173_neurosketch,0,0.29999999999999999,0.2857142857142857,bed_table
15,0119174_neurosketch,0,0.29999999999999999,0.14285714285714285,bench_chair
16,0120171_neurosketch,0,0.34999999999999998,0.33333333333333331,bench_table
17,0120172_neurosketch,0,0.5,0.2857142857142857,chair_table
18,0120173_neurosketch,0,0.20000000000000001,0.52380952380952384,bed_bench
19,0123171_neurosketch,0,0.45000000000000001,0.42857142857142855,bed_table
20,0123172_neurosketch,0,0.20000000000000001,0.095238095238095233,bench_chair
21,0123173_neurosketch,0,0.29999999999999999,0.23809523809523808,bench_table
22,0124171_neurosketch,0,0.14999999999999999,0.19047619047619047,chair_table
23,0125171_neurosketch,0,0.10000000000000001,0.095238095238095233,bench_chair
24,0125172_neurosketch,0,0.5,0.66666666666666663,bed_chair
25,1121161_neurosketch,0,0.34999999999999998,0.38095238095238093,bed_table
26,1130161_neurosketch,0,0.59999999999999998,0.38095238095238093,bench_chair
27,1201161_neurosketch,0,0.10000000000000001,0.14285714285714285,bench_table
28,1202161_neurosketch,0,0.65000000000000002,0.33333333333333331,bed_chair
29,1203161_neurosketch,0,0.29999999999999999,0.23809523809523808,chair_table
30,1206161_neurosketch,0,0.5,0.2857142857142857,bed_bench
31,1206162_neurosketch,0,0.40000000000000002,0.61904761904761907,bed_chair
32,1206163_neurosketch,0,0.20000000000000001,0.33333333333333331,bed_table
33,1207161_neurosketch,0,0.10000000000000001,0.23809523809523808,bench_chair
34,1207162_neurosketch,0,0.10000000000000001,0.0,bench_table
35,0110171_neurosketch,1,0.40000000000000002,0.33333333333333331,bed_bench
36,0110172_neurosketch,1,0.69999999999999996,0.61904761904761907,bed_chair
37,0111171_neurosketch,1,0.5,0.38095238095238093,bed_table
38,0112171_neurosketch,1,0.25,0.095238095238095233,bench_chair
39,0112172_neurosketch,1,0.34999999999999998,0.42857142857142855,bench_table
40,0112173_neurosketch,1,0.29999999999999999,0.2857142857142857,chair_table
41,0113171_neurosketch,1,0.55000000000000004,0.47619047619047616,bed_chair
42,0115172_neurosketch,1,0.34999999999999998,0.5714285714285714,bed_table
43,0115174_neurosketch,1,0.59999999999999998,0.52380952380952384,bench_chair
44,0117171_neurosketch,1,0.050000000000000003,0.047619047619047616,bench_table
45,0118171_neurosketch,1,0.45000000000000001,0.19047619047619047,chair_table
46,0118172_neurosketch,1,0.45000000000000001,0.42857142857142855,chair_table
47,0119171_neurosketch,1,0.34999999999999998,0.33333333333333331,bed_bench
48,0119172_neurosketch,1,0.45000000000000001,0.38095238095238093,bed_chair
49,0119173_neurosketch,1,0.45000000000000001,0.42857142857142855,bed_table
50,0119174_neurosketch,1,0.34999999999999998,0.38095238095238093,bench_chair
51,0120171_neurosketch,1,0.40000000000000002,0.42857142857142855,bench_table
52,0120172_neurosketch,1,0.45000000000000001,0.2857142857142857,chair_table
53,0120173_neurosketch,1,0.5,0.33333333333333331,bed_bench
54,0123171_neurosketch,1,0.29999999999999999,0.42857142857142855,bed_table
55,0123172_neurosketch,1,0.25,0.23809523809523808,bench_chair
56,0123173_neurosketch,1,0.40000000000000002,0.2857142857142857,bench_table
57,0124171_neurosketch,1,0.29999999999999999,0.23809523809523808,chair_table
58,0125171_neurosketch,1,0.29999999999999999,0.19047619047619047,bench_chair
59,0125172_neurosketch,1,0.65000000000000002,0.61904761904761907,bed_chair
60,1121161_neurosketch,1,0.40000000000000002,0.2857142857142857,bed_table
61,1130161_neurosketch,1,0.69999999999999996,0.52380952380952384,bench_chair
62,1201161_neurosketch,1,0.10000000000000001,0.23809523809523808,bench_table
63,1202161_neurosketch,1,0.80000000000000004,0.52380952380952384,bed_chair
64,1203161_neurosketch,1,0.45000000000000001,0.2857142857142857,chair_table
65,1206161_neurosketch,1,0.45000000000000001,0.52380952380952384,bed_bench
66,1206162_neurosketch,1,0.5,0.61904761904761907,bed_chair
67,1206163_neurosketch,1,0.29999999999999999,0.42857142857142855,bed_table
68,1207161_neurosketch,1,0.34999999999999998,0.38095238095238093,bench_chair
69,1207162_neurosketch,1,0.29999999999999999,0.2857142857142857,bench_table
70,0110171_neurosketch,2,0.45000000000000001,0.38095238095238093,bed_bench
71,0110172_neurosketch,2,0.65000000000000002,0.47619047619047616,bed_chair
72,0111171_neurosketch,2,0.45000000000000001,0.38095238095238093,bed_table
73,0112171_neurosketch,2,0.34999999999999998,0.14285714285714285,bench_chair
74,0112172_neurosketch,2,0.45000000000000001,0.47619047619047616,bench_table
75,0112173_neurosketch,2,0.34999999999999998,0.23809523809523808,chair_table
76,0113171_neurosketch,2,0.5,0.66666666666666663,bed_chair
77,0115172_neurosketch,2,0.45000000000000001,0.5714285714285714,bed_table
78,0115174_neurosketch,2,0.84999999999999998,0.52380952380952384,bench_chair
79,0117171_neurosketch,2,0.10000000000000001,0.0,bench_table
80,0118171_neurosketch,2,0.55000000000000004,0.33333333333333331,chair_table
81,0118172_neurosketch,2,0.34999999999999998,0.52380952380952384,chair_table
82,0119171_neurosketch,2,0.59999999999999998,0.38095238095238093,bed_bench
83,0119172_neurosketch,2,0.45000000000000001,0.38095238095238093,bed_chair
84,0119173_neurosketch,2,0.34999999999999998,0.47619047619047616,bed_table
85,0119174_neurosketch,2,0.5,0.33333333333333331,bench_chair
86,0120171_neurosketch,2,0.5,0.47619047619047616,bench_table
87,0120172_neurosketch,2,0.55000000000000004,0.42857142857142855,chair_table
88,0120173_neurosketch,2,0.55000000000000004,0.33333333333333331,bed_bench
89,0123171_neurosketch,2,0.29999999999999999,0.52380952380952384,bed_table
90,0123172_neurosketch,2,0.29999999999999999,0.19047619047619047,bench_chair
91,0123173_neurosketch,2,0.40000000000000002,0.33333333333333331,bench_table
92,0124171_neurosketch,2,0.34999999999999998,0.33333333333333331,chair_table
93,0125171_neurosketch,2,0.34999999999999998,0.38095238095238093,bench_chair
94,0125172_neurosketch,2,0.65000000000000002,0.52380952380952384,bed_chair
95,1121161_neurosketch,2,0.25,0.2857142857142857,bed_table
96,1130161_neurosketch,2,0.65000000000000002,0.52380952380952384,bench_chair
97,1201161_neurosketch,2,0.34999999999999998,0.47619047619047616,bench_table
98,1202161_neurosketch,2,0.75,0.5714285714285714,bed_chair
99,1203161_neurosketch,2,0.34999999999999998,0.42857142857142855,chair_table
100,1206161_neurosketch,2,0.45000000000000001,0.47619047619047616,bed_bench
101,1206162_neurosketch,2,0.5,0.47619047619047616,bed_chair
102,1206163_neurosketch,2,0.29999999999999999,0.47619047619047616,bed_table
103,1207161_neurosketch,2,0.45000000000000001,0.33333333333333331,bench_chair
104,1207162_neurosketch,2,0.45000000000000001,0.38095238095238093,bench_table
105,0110171_neurosketch,3,0.5,0.38095238095238093,bed_bench
106,0110172_neurosketch,3,0.65000000000000002,0.38095238095238093,bed_chair
107,0111171_neurosketch,3,0.40000000000000002,0.38095238095238093,bed_table
108,0112171_neurosketch,3,0.40000000000000002,0.19047619047619047,bench_chair
109,0112172_neurosketch,3,0.5,0.47619047619047616,bench_table
110,0112173_neurosketch,3,0.34999999999999998,0.19047619047619047,chair_table
111,0113171_neurosketch,3,0.69999999999999996,0.66666666666666663,bed_chair
112,0115172_neurosketch,3,0.45000000000000001,0.61904761904761907,bed_table
113,0115174_neurosketch,3,0.80000000000000004,0.66666666666666663,bench_chair
114,0117171_neurosketch,3,0.050000000000000003,0.095238095238095233,bench_table
115,0118171_neurosketch,3,0.55000000000000004,0.61904761904761907,chair_table
116,0118172_neurosketch,3,0.45000000000000001,0.47619047619047616,chair_table
117,0119171_neurosketch,3,0.5,0.33333333333333331,bed_bench
118,0119172_neurosketch,3,0.40000000000000002,0.42857142857142855,bed_chair
119,0119173_neurosketch,3,0.34999999999999998,0.66666666666666663,bed_table
120,0119174_neurosketch,3,0.69999999999999996,0.38095238095238093,bench_chair
121,0120171_neurosketch,3,0.59999999999999998,0.47619047619047616,bench_table
122,0120172_neurosketch,3,0.59999999999999998,0.52380952380952384,chair_table
123,0120173_neurosketch,3,0.5,0.42857142857142855,bed_bench
124,0123171_neurosketch,3,0.5,0.61904761904761907,bed_table
125,0123172_neurosketch,3,0.40000000000000002,0.14285714285714285,bench_chair
126,0123173_neurosketch,3,0.45000000000000001,0.42857142857142855,bench_table
127,0124171_neurosketch,3,0.40000000000000002,0.2857142857142857,chair_table
128,0125171_neurosketch,3,0.5,0.42857142857142855,bench_chair
129,0125172_neurosketch,3,0.55000000000000004,0.47619047619047616,bed_chair
130,1121161_neurosketch,3,0.29999999999999999,0.33333333333333331,bed_table
131,1130161_neurosketch,3,0.65000000000000002,0.61904761904761907,bench_chair
132,1201161_neurosketch,3,0.40000000000000002,0.33333333333333331,bench_table
133,1202161_neurosketch,3,0.5,0.5714285714285714,bed_chair
134,1203161_neurosketch,3,0.55000000000000004,0.5714285714285714,chair_table
135,1206161_neurosketch,3,0.55000000000000004,0.52380952380952384,bed_bench
136,1206162_neurosketch,3,0.59999999999999998,0.5714285714285714,bed_chair
137,1206163_neurosketch,3,0.34999999999999998,0.42857142857142855,bed_table
138,1207161_neurosketch,3,0.5,0.47619047619047616,bench_chair
139,1207162_neurosketch,3,0.55000000000000004,0.47619047619047616,bench_table
140,0110171_neurosketch,4,0.5,0.38095238095238093,bed_bench
141,0110172_neurosketch,4,0.65000000000000002,0.33333333333333331,bed_chair
142,0111171_neurosketch,4,0.40000000000000002,0.2857142857142857,bed_table
143,0112171_neurosketch,4,0.59999999999999998,0.23809523809523808,bench_chair
144,0112172_neurosketch,4,0.5,0.47619047619047616,bench_table
145,0112173_neurosketch,4,0.29999999999999999,0.33333333333333331,chair_table
146,0113171_neurosketch,4,0.80000000000000004,0.7142857142857143,bed_chair
147,0115172_neurosketch,4,0.5,0.5714285714285714,bed_table
148,0115174_neurosketch,4,0.80000000000000004,0.66666666666666663,bench_chair
149,0117171_neurosketch,4,0.10000000000000001,0.095238095238095233,bench_table
150,0118171_neurosketch,4,0.69999999999999996,0.66666666666666663,chair_table
151,0118172_neurosketch,4,0.40000000000000002,0.61904761904761907,chair_table
152,0119171_neurosketch,4,0.5,0.42857142857142855,bed_bench
153,0119172_neurosketch,4,0.40000000000000002,0.47619047619047616,bed_chair
154,0119173_neurosketch,4,0.34999999999999998,0.38095238095238093,bed_table
155,0119174_neurosketch,4,0.75,0.52380952380952384,bench_chair
156,0120171_neurosketch,4,0.75,0.5714285714285714,bench_table
157,0120172_neurosketch,4,0.69999999999999996,0.47619047619047616,chair_table
158,0120173_neurosketch,4,0.59999999999999998,0.47619047619047616,bed_bench
159,0123171_neurosketch,4,0.5,0.52380952380952384,bed_table
160,0123172_neurosketch,4,0.34999999999999998,0.47619047619047616,bench_chair
161,0123173_neurosketch,4,0.40000000000000002,0.52380952380952384,bench_table
162,0124171_neurosketch,4,0.55000000000000004,0.33333333333333331,chair_table
163,0125171_neurosketch,4,0.40000000000000002,0.42857142857142855,bench_chair
164,0125172_neurosketch,4,0.65000000000000002,0.52380952380952384,bed_chair
165,1121161_neurosketch,4,0.25,0.33333333333333331,bed_table
166,1130161_neurosketch,4,0.65000000000000002,0.66666666666666663,bench_chair
167,1201161_neurosketch,4,0.40000000000000002,0.38095238095238093,bench_table
168,1202161_neurosketch,4,0.69999999999999996,0.5714285714285714,bed_chair
169,1203161_neurosketch,4,0.65000000000000002,0.52380952380952384,chair_table
170,1206161_neurosketch,4,0.55000000000000004,0.61904761904761907,bed_bench
171,1206162_neurosketch,4,0.40000000000000002,0.5714285714285714,bed_chair
172,1206163_neurosketch,4,0.25,0.42857142857142855,bed_table
173,1207161_neurosketch,4,0.5,0.52380952380952384,bench_chair
174,1207162_neurosketch,4,0.5,0.5714285714285714,bench_table
175,0110171_neurosketch,5,0.59999999999999998,0.33333333333333331,bed_bench
176,0110172_neurosketch,5,0.69999999999999996,0.47619047619047616,bed_chair
177,0111171_neurosketch,5,0.55000000000000004,0.2857142857142857,bed_table
178,0112171_neurosketch,5,0.5,0.2857142857142857,bench_chair
179,0112172_neurosketch,5,0.5,0.42857142857142855,bench_table
180,0112173_neurosketch,5,0.40000000000000002,0.23809523809523808,chair_table
181,0113171_neurosketch,5,0.75,0.61904761904761907,bed_chair
182,0115172_neurosketch,5,0.45000000000000001,0.61904761904761907,bed_table
183,0115174_neurosketch,5,0.75,0.61904761904761907,bench_chair
184,0117171_neurosketch,5,0.10000000000000001,0.0,bench_table
185,0118171_neurosketch,5,0.59999999999999998,0.5714285714285714,chair_table
186,0118172_neurosketch,5,0.40000000000000002,0.52380952380952384,chair_table
187,0119171_neurosketch,5,0.45000000000000001,0.47619047619047616,bed_bench
188,0119172_neurosketch,5,0.55000000000000004,0.38095238095238093,bed_chair
189,0119173_neurosketch,5,0.5,0.47619047619047616,bed_table
190,0119174_neurosketch,5,0.90000000000000002,0.52380952380952384,bench_chair
191,0120171_neurosketch,5,0.75,0.52380952380952384,bench_table
192,0120172_neurosketch,5,0.55000000000000004,0.52380952380952384,chair_table
193,0120173_neurosketch,5,0.55000000000000004,0.5714285714285714,bed_bench
194,0123171_neurosketch,5,0.45000000000000001,0.5714285714285714,bed_table
195,0123172_neurosketch,5,0.40000000000000002,0.38095238095238093,bench_chair
196,0123173_neurosketch,5,0.40000000000000002,0.42857142857142855,bench_table
197,0124171_neurosketch,5,0.5,0.33333333333333331,chair_table
198,0125171_neurosketch,5,0.45000000000000001,0.52380952380952384,bench_chair
199,0125172_neurosketch,5,0.69999999999999996,0.5714285714285714,bed_chair
200,1121161_neurosketch,5,0.25,0.33333333333333331,bed_table
201,1130161_neurosketch,5,0.65000000000000002,0.66666666666666663,bench_chair
202,1201161_neurosketch,5,0.29999999999999999,0.42857142857142855,bench_table
203,1202161_neurosketch,5,0.69999999999999996,0.52380952380952384,bed_chair
204,1203161_neurosketch,5,0.55000000000000004,0.52380952380952384,chair_table
205,1206161_neurosketch,5,0.5,0.61904761904761907,bed_bench
206,1206162_neurosketch,5,0.65000000000000002,0.47619047619047616,bed_chair
207,1206163_neurosketch,5,0.29999999999999999,0.38095238095238093,bed_table
208,1207161_neurosketch,5,0.5,0.66666666666666663,bench_chair
209,1207162_neurosketch,5,0.55000000000000004,0.61904761904761907,bench_table
210,0110171_neurosketch,6,0.84999999999999998,0.38095238095238093,bed_bench
211,0110172_neurosketch,6,0.69999999999999996,0.52380952380952384,bed_chair
212,0111171_neurosketch,6,0.40000000000000002,0.33333333333333331,bed_table
213,0112171_neurosketch,6,0.5,0.47619047619047616,bench_chair
214,0112172_neurosketch,6,0.55000000000000004,0.42857142857142855,bench_table
215,0112173_neurosketch,6,0.34999999999999998,0.23809523809523808,chair_table
216,0113171_neurosketch,6,0.69999999999999996,0.61904761904761907,bed_chair
217,0115172_neurosketch,6,0.45000000000000001,0.61904761904761907,bed_table
218,0115174_neurosketch,6,0.75,0.7142857142857143,bench_chair
219,0117171_neurosketch,6,0.14999999999999999,0.14285714285714285,bench_table
220,0118171_neurosketch,6,0.59999999999999998,0.38095238095238093,chair_table
221,0118172_neurosketch,6,0.40000000000000002,0.5714285714285714,chair_table
222,0119171_neurosketch,6,0.55000000000000004,0.47619047619047616,bed_bench
223,0119172_neurosketch,6,0.59999999999999998,0.2857142857142857,bed_chair
224,0119173_neurosketch,6,0.5,0.52380952380952384,bed_table
225,0119174_neurosketch,6,0.90000000000000002,0.52380952380952384,bench_chair
226,0120171_neurosketch,6,0.75,0.5714285714285714,bench_table
227,0120172_neurosketch,6,0.55000000000000004,0.5714285714285714,chair_table
228,0120173_neurosketch,6,0.40000000000000002,0.5714285714285714,bed_bench
229,0123171_neurosketch,6,0.59999999999999998,0.66666666666666663,bed_table
230,0123172_neurosketch,6,0.40000000000000002,0.66666666666666663,bench_chair
231,0123173_neurosketch,6,0.45000000000000001,0.47619047619047616,bench_table
232,0124171_neurosketch,6,0.45000000000000001,0.38095238095238093,chair_table
233,0125171_neurosketch,6,0.59999999999999998,0.5714285714285714,bench_chair
234,0125172_neurosketch,6,0.59999999999999998,0.66666666666666663,bed_chair
235,1121161_neurosketch,6,0.25,0.33333333333333331,bed_table
236,1130161_neurosketch,6,0.59999999999999998,0.7142857142857143,bench_chair
237,1201161_neurosketch,6,0.34999999999999998,0.47619047619047616,bench_table
238,1202161_neurosketch,6,0.65000000000000002,0.61904761904761907,bed_chair
239,1203161_neurosketch,6,0.55000000000000004,0.52380952380952384,chair_table
240,1206161_neurosketch,6,0.5,0.66666666666666663,bed_bench
241,1206162_neurosketch,6,0.69999999999999996,0.5714285714285714,bed_chair
242,1206163_neurosketch,6,0.34999999999999998,0.47619047619047616,bed_table
243,1207161_neurosketch,6,0.59999999999999998,0.5714285714285714,bench_chair
244,1207162_neurosketch,6,0.55000000000000004,0.61904761904761907,bench_table
245,0110171_neurosketch,7,0.69999999999999996,0.42857142857142855,bed_bench
246,0110172_neurosketch,7,0.55000000000000004,0.47619047619047616,bed_chair
247,0111171_neurosketch,7,0.40000000000000002,0.47619047619047616,bed_table
248,0112171_neurosketch,7,0.55000000000000004,0.52380952380952384,bench_chair
249,0112172_neurosketch,7,0.55000000000000004,0.38095238095238093,bench_table
250,0112173_neurosketch,7,0.40000000000000002,0.33333333333333331,chair_table
251,0113171_neurosketch,7,0.80000000000000004,0.61904761904761907,bed_chair
252,0115172_neurosketch,7,0.34999999999999998,0.61904761904761907,bed_table
253,0115174_neurosketch,7,0.80000000000000004,0.76190476190476186,bench_chair
254,0117171_neurosketch,7,0.20000000000000001,0.14285714285714285,bench_table
255,0118171_neurosketch,7,0.59999999999999998,0.42857142857142855,chair_table
256,0118172_neurosketch,7,0.45000000000000001,0.5714285714285714,chair_table
257,0119171_neurosketch,7,0.55000000000000004,0.52380952380952384,bed_bench
258,0119172_neurosketch,7,0.5,0.2857142857142857,bed_chair
259,0119173_neurosketch,7,0.5,0.47619047619047616,bed_table
260,0119174_neurosketch,7,0.94999999999999996,0.61904761904761907,bench_chair
261,0120171_neurosketch,7,0.69999999999999996,0.7142857142857143,bench_table
262,0120172_neurosketch,7,0.65000000000000002,0.7142857142857143,chair_table
263,0120173_neurosketch,7,0.5,0.52380952380952384,bed_bench
264,0123171_neurosketch,7,0.69999999999999996,0.66666666666666663,bed_table
265,0123172_neurosketch,7,0.5,0.61904761904761907,bench_chair
266,0123173_neurosketch,7,0.55000000000000004,0.42857142857142855,bench_table
267,0124171_neurosketch,7,0.59999999999999998,0.42857142857142855,chair_table
268,0125171_neurosketch,7,0.65000000000000002,0.5714285714285714,bench_chair
269,0125172_neurosketch,7,0.5,0.5714285714285714,bed_chair
270,1121161_neurosketch,7,0.45000000000000001,0.2857142857142857,bed_table
